,price,crime,nox,rooms,dist,radial,proptax,stratio,lowstat,lprice,lnox,lproptax,Unnamed: 12
0,24000,0.006,5.38,6.57,4.09,1.0,29.6,15.3,4.98,10.08581,1.6826880000000002,5.69036,
1,21599,0.027000000000000003,4.69,6.42,4.97,2.0,24.2,17.8,9.14,9.980402,1.545433,5.488938,
2,34700,0.027000000000000003,4.69,7.18,4.97,2.0,24.2,17.8,4.03,10.4545,1.545433,5.488938,
3,33400,0.032,4.58,7.0,6.06,3.0,22.2,18.7,2.94,10.416310000000001,1.521699,5.402678,
4,36199,0.069,4.58,7.15,6.06,3.0,22.2,18.7,5.33,10.496789999999999,1.521699,5.402678,
5,28701,0.03,4.58,6.43,6.06,3.0,22.2,18.7,5.21,10.26469,1.521699,5.402678,
6,22900,,,6.01,5.56,,,15.2,,,1.656321,,
7,27100,0.145,5.24,6.17,5.95,5.0,31.1,15.2,19.15,10.207289999999999,1.656321,5.739793,
8,16500,0.21100000000000002,5.24,5.63,6.08,5.0,31.1,15.2,29.93,9.711116,1.656321,5.739793,
9,18900,0.17,5.24,6.0,6.59,5.0,31.1,15.2,17.1,9.846917,1.656321,5.739793,
10,15000,0.225,5.24,6.38,6.35,5.0,31.1,15.2,20.45,9.615806,1.656321,5.739793,
11,18900,0.11699999999999999,5.24,6.01,6.23,5.0,31.1,15.2,13.27,9.846917,1.656321,5.739793,
12,21700,0.094,5.24,5.89,5.45,5.0,31.1,15.2,15.71,9.985066999999999,1.656321,5.739793,
13,20400,,,5.95,4.71,,,21.0,,,1.6826880000000002,,
14,18200,0.638,5.38,6.1,4.46,4.0,30.7,21.0,10.26,9.809175999999999,1.6826880000000002,5.726848,
15,19900,0.627,5.38,5.83,4.5,4.0,30.7,21.0,8.47,9.898475,1.6826880000000002,5.726848,
16,23100,1.054,5.38,5.93,4.5,4.0,30.7,21.0,6.58,10.04759,1.6826880000000002,5.726848,
17,17500,0.784,5.38,5.99,4.26,4.0,30.7,21.0,14.67,9.769957000000002,1.6826880000000002,5.726848,
18,20200,0.8029999999999999,5.38,5.46,3.8,4.0,30.7,21.0,11.69,9.913438000000001,1.6826880000000002,5.726848,
19,18200,0.726,5.38,5.73,3.8,4.0,30.7,21.0,11.28,9.809175999999999,1.6826880000000002,5.726848,
20,13600,1.252,5.38,5.57,3.8,4.0,30.7,21.0,21.02,9.517825,1.6826880000000002,5.726848,
21,19600,0.852,5.38,5.96,4.01,4.0,30.7,21.0,13.83,9.883285,1.6826880000000002,5.726848,
22,15200,1.232,5.38,6.14,3.98,4.0,30.7,21.0,18.72,9.62905,1.6826880000000002,5.726848,
23,14500,0.988,5.38,5.81,4.1,4.0,30.7,21.0,19.88,9.581903,1.6826880000000002,5.726848,
24,15600,0.75,5.38,5.92,4.4,4.0,30.7,21.0,16.3,9.655026,1.6826880000000002,5.726848,
25,13900,0.841,5.38,5.6,4.45,4.0,30.7,21.0,16.51,9.539644000000001,1.6826880000000002,5.726848,
26,16600,0.672,5.38,5.81,4.68,4.0,30.7,21.0,14.81,9.717158,1.6826880000000002,5.726848,
27,14800,0.956,5.38,6.05,4.45,4.0,30.7,21.0,17.28,9.602383,1.6826880000000002,5.726848,
28,18400,0.773,5.38,6.49,4.45,4.0,30.7,21.0,12.8,9.820106,1.6826880000000002,5.726848,
29,21000,1.002,5.38,6.67,4.23,4.0,30.7,21.0,11.98,9.952278,1.6826880000000002,5.726848,
30,12700,1.131,5.38,5.69,4.23,4.0,30.7,21.0,22.6,9.449357000000001,1.6826880000000002,5.726848,
31,14500,1.355,5.38,6.07,4.17,4.0,30.7,21.0,13.04,9.581903,1.6826880000000002,5.726848,
32,13200,1.3880000000000001,5.38,5.95,3.99,4.0,30.7,21.0,27.71,9.487972000000001,1.6826880000000002,5.726848,
33,13100,1.1520000000000001,5.38,5.7,3.79,4.0,30.7,21.0,18.35,9.480367999999999,1.6826880000000002,5.726848,
34,13500,1.6130000000000002,5.38,6.1,3.76,4.0,30.7,21.0,20.34,9.510444999999999,1.6826880000000002,5.726848,
35,18900,0.064,4.99,5.93,3.36,5.0,27.9,19.2,9.68,9.846917,1.607436,5.6312120000000006,
36,20000,0.09699999999999999,4.99,5.84,3.38,5.0,27.9,19.2,11.41,9.903487,1.607436,5.6312120000000006,
37,13668,0.08,4.99,5.85,3.93,5.0,27.9,19.2,8.77,9.522813000000001,1.607436,5.6312120000000006,
38,24701,0.175,4.99,5.97,3.85,5.0,27.9,19.2,10.13,10.1146,1.607436,5.6312120000000006,
39,30801,0.027999999999999997,4.28,6.59,5.4,3.0,25.2,18.3,4.32,10.3353,1.453953,5.529429,
40,34899,0.034,4.28,7.02,5.4,3.0,25.2,18.3,1.98,10.46021,1.453953,5.529429,
